Figure 3A,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,CT11,CT12,CT13,CT14,CT15,CT16,CT17,CT18,CT19,CT20,CT21,CT22,CT23,CT24,CT25,CT26,CT27,CT28,CT29,CT30,CT31,CT32,CT33,CT34,CT35,CT36,CT37,CT38,CT39,CT40,CT41,CT42,CT43,CT44,CT45,CT46,CT47,CT48,CT49,CT50,CT51,CT52,CT53,CT54,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT88,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT112,CT113,CT114,CT115
Nmb,0.239833765,0.110172543,0.373183805,0.428548347,0.154133346,0.138889149,0.187815834,0.174408178,0.082709336,0.154643286,0.091469818,0.136701867,0.118635777,0.224838931,0.17387333,0.042581109,0.123229063,0.055527372,0.060977563,0.138114262,0.061627014,0.105673902,0.155942484,0.418867868,0.339226188,0.780048643,0.255120195,0.336134053,0.132644385,0.214053901,0.282396128,0.339940416,0.044768371,0.109769849,0.166852135,0.089158243,0.470797251,0.461240114,0.794470099,0.002027517,0.227183106,0,0.256790937,0.480454648,1,0.007338311,0.149698923,0.009407996,0.118534369,0.225946826,0.890702762,0.278588302,0.073964865,0.046404497,0.146455149,0.298045292,0.089504246,0.014180535,0.340779074,0.189289728,0.026773097,0.318426162,0,0.072659179,0.037372498,0.175663234,0.112875063,0.040394222,0.006579135,0.151111746,0.160636261,0.107790048,0.577981963,0.144237105,0,0.080116429,0,0.059505805,0.015644867,0.2154614,0.054031315,0,0.084472678,0.115300323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5D,CT4,CT5,CT6,CT13,CT14,CT15,CT16,CT17,CT18,CT19,CT20,CT21,CT22,CT23,CT34,CT35,CT36,CT38,CT40,CT41,CT42,CT48,CT51,CT52,CT53,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT113,CT114,CT115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sstr2,0.006533099,0.074868113,0.105040933,0.107501889,0.010675041,0.550036281,0.505349773,0.343130104,0.575498789,0.900314191,1,0.925327671,0.921326904,0.966342426,0.725681311,0.621082608,0.657977869,0.439499677,0.14707039,0.839176003,0.840095258,0.832318523,0.697773227,0.138752723,0.007995981,0.166707858,0.482038497,0.690490947,0.926202299,0.834909302,0.669057165,0.37368559,0.252781319,0.812384591,0.189274885,0.220857201,0.540668973,0.511036266,0.813463479,0.903489414,0.271781563,0.381674975,0.570896579,0.41301913,0.531468832,0.119370386,0.295670263,0.343543112,0.248697626,0.5863188,0.859155776,0.510668177,0.320852574,0.240714943,0.510375174,0,0,0,0,0,0,0.146839445,0,0.552573392,0.588479195,0.282876404,0.002531666,0,0,0,0.001661412,0.18206344,0.463780997,0.326938935,0,0,0,0.004908675,0,0,0,0,0,0.952765694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Npy2r,0,0.006597029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395571959,0.217839308,0.514188043,0.00024391,0,0,0,1,0.87150792,0.323403278,0,0,0.575584796,0.7299605,0.685261473,0.852427205,0.89410101,0.671012921,0.597312329,0.921772207,0.71358307,0.434647913,0.063282633,0,0.340639073,0,0,0.598991712,0.083893214,0,0.130839835,0.279530115,0.142529414,0,0,0,0,0,0,0,0,0,0,0,0,0.001645787,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Npy1r,0.597004179,0.661915332,0.611857807,0.550356984,0.523310812,0.513260026,0.508606686,0.524868101,0.560775658,0.520742276,0.529294698,0.465654864,0.412285253,0.443557234,0.368603653,0.142936871,0.201120379,0.174592859,0.000147031,0.400981336,0.290758343,0.022205478,0.213841339,0.042236789,0,0,0.463443419,0.812858698,0.638036984,0.664087061,0.385329501,0.047743706,0.162485294,0.785356637,0.732536793,0.718109547,0.79435324,0.494270558,0.728130221,0.947175181,0.805102485,0.984226381,0.954750552,1,0.880890537,0.833157692,0.88655324,0.882394614,0.741360775,0.854000811,0.825012331,0.891159999,0.701288899,0.568111803,0.848587209,0.215497827,0,0,0.000987369,0,0.040559752,0,0,0,0.001044434,0,0,0.001383175,0.042005585,0.312531891,0.132126501,0.009920399,0.503300803,0.390701458,0.546770831,0.001397797,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grpr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220146036,0,0.131822784,0.303606953,0.813727011,0.591773873,0.628848288,0.859088606,0.865834345,0.756389708,0.8452948,0.903025714,0.88174079,1,0.866363439,0.881891285,0.928356087,0.875303489,0.679567966,0.644158985,0.654493504,0,0.469336904,0.31488395,0.148500735,0.000465929,0.353499105,0.47209114,0.094025145,0.039847627,0,0,0,0,0.063198762,0.438297021,0.359332031,0,0,0,0,0.001290381,0.214622444,0,0.078088205,0.022115422,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cckbr,0.829442107,1,0.877039842,0.919952857,0.736212138,0.810306487,0.824095988,0.890098431,0.83997896,0.862209674,0.832387203,0.861897556,0.838400394,0.841925161,0.813657516,0.898692445,0.852781939,0,0.017332506,0.837797085,0.857359542,0.905903255,0.962698861,0.9829255,0.993635142,0.998087866,0.324212801,0,0,0,0,0.000140848,0,0.212782889,0,0.208472585,0,0.002485698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573981985,0.085365496,0,0.007645777,0.079680546,0,0,0,0.000676358,0,0.004373687,0.57092318,0.545461058,0.578080016,0.36040604,0,0.342452968,0.515936377,0.675478,0.709544332,0.594575733,0.640915855,0.666907792,0.671587045,0.661982115,0.299007464,0.417738154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ntsr2,0.344344463,0.314524904,0.295008466,0.333624637,0.282114623,0.380801768,0.333805001,0.392267078,0.323328552,0.38545434,0.464925481,0.375817987,0.325507128,0.230648323,0.236865428,0.202472763,0.156330059,0,0.054716348,0.219806097,0.303835709,0.14613975,0.074610799,0.047912844,0.205056108,0.568457568,0,0.136386079,0.070279932,0.444417054,0,0.010376147,0.124546253,0.178662504,0.40255685,0.307279674,0.217737614,0.262517538,0.213920016,0.885984699,1,0.588034862,0.718592544,0.64550002,0.230376939,0.243696928,0.455367512,0.314580599,0.106155259,0.008020421,0.086543166,0.630670903,0.002582848,0,0,0.002039297,0,0.001106352,0,0,0.008178178,0.02331296,0,0.002031324,0,0,0.004761036,0,0.001766959,0.028279647,0.002952266,0,0.44395763,0.147605118,0,0.002103393,0,0.156722043,0.001778445,0,0.002671176,0,0.000760889,0.008202439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Npy5r,0.495486213,0.698638468,0.570292088,0.612870485,0.533177321,0.490417563,0.365037201,0.515206404,0.467886173,0.493657369,0.529006882,0.534277153,0.435780563,0.474663791,0.369170303,0.375735158,0.27894392,0.14739809,0.066164602,0.371326713,0.183007004,0.027460909,0.191701295,0,0,0,0.125016347,0.683240279,0.497904769,0.569120135,0.194748501,0.000108695,0.104702117,0.863381189,0.624231681,0.623793735,0.746485386,0.442038479,0.716870411,0.881784714,0.845082789,0.84743077,0.9814334,1,0.843799475,0.833141301,0.873497834,0.820143248,0.784917127,0.64485353,0.739895308,0.929711142,0.788394597,0.559475645,0.833892307,0.338708566,0.089011699,0.00522421,0.067554403,0.095431662,0.424727562,0.124528967,0,0,0,0.002245884,0,0.047044137,0.301237409,0.425100677,0.28829406,0.079028883,0.578528321,0.481866825,0.508730947,0,0.009067849,0.003781017,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nmbr,0,0,0.031973625,0.068128567,0.014131366,0.008748622,0.000174129,0.002303613,0.002551041,0.020494637,0.008468876,0.011249557,0.003856164,0.00480985,0,0.055088804,0.000847685,0,0,0.005770579,0,0.260704183,0.5407611,0.162153073,0,0.003433484,0.7685491,0.123204153,0.047078458,0.014467796,0.274461013,0.520086488,0.842109143,0.031534042,0,0,0.000986415,0.000780163,0.000899946,0.060780141,0,0,0,0.109709352,0.031598471,0.190832882,0.092020576,0.206129716,0.033992409,0.082546928,0,0.074875413,0.002450363,0.001295846,0,0.208119687,0.553818784,0.313652081,0.055556321,0.020243485,0.09597185,0,0,0,0,0.056911988,0,0.40038231,0.661598921,0.983884185,0.664685033,0.291621075,1,0.743982968,0.832774902,0,0.605565604,0.036816419,0.358357824,0.119118693,0,0,0,0.063776951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rxfp1,0,0,0,0,0,0,0,0,0,0.03383209,0.002532003,0.168184394,0.412792371,0.607365262,0,0.004904754,0.04357657,0.325180345,0.000182555,0.138745821,0.283904822,0,0.353895239,0.194182349,0.191457567,0.130778674,0.00069254,0.924345508,1,0.941451144,0.726209859,0.004245047,0,0,0.920490677,0.614881104,0.680960567,0.000468145,0.330003054,0.777737341,0.000723864,0.634107658,0.87036485,0.666490987,0.080214121,0,0.000835823,0.790857415,0,0.914142208,0.651104772,0.893008097,0.761080754,0.450724653,0.873672049,0,0,0,0.005806647,0,0,0,0.000824234,0,0,0,0,0,0.000433065,0,0,0,0.448691288,0.354387036,0.212149704,0.118513411,0.182412901,0.04382733,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sstr4,0.622292865,0.429265786,0.265946116,0.112787777,0.00035204,0.250257484,0.366266075,0.335855545,0.592681843,0.658609109,0.63182505,0.567878962,0.597131222,0.561435992,0.558621856,0.716808407,0.744533198,0.767776581,0.653301617,0.776573663,0.822865251,0.656278881,0.706452036,0.614404484,0.704526306,0.447866286,0.436551183,0,0,0,0.00445729,0.297432467,0,0.003633476,0.60610566,0.378333233,0.037285894,0.390291238,0.247394259,0.534698261,0.636416461,0.632928334,0.293244389,0.008330659,0,0,0.041786199,0.415960515,0.775763328,0.564644099,0.531472831,0.798788997,1,0.894086046,0.968848484,0,0,0.231782951,0.019087336,0.037123447,0.043925522,0.473371941,0.650018568,0.392985717,0.002537935,0.026812208,0,0.083413982,0,0,0,0,0,0,0.024197787,0.455635615,0.236966243,0.411639377,0.071177938,0.144264299,0.190323322,0,0.288579049,0.602808171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trhr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039155179,0.083884023,0,0.754528922,1,0,0.012258647,0.13500137,0,0,0.326048222,0.046962639,0.039077612,0,0,0,0,0.050328472,0,0,0.117024751,0.030552589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sstr1,0.378357172,0.420307295,0.387855487,0.356385689,0.301345403,0.306818641,0.151391949,0.229791022,0.050542518,0,0.209812312,0.147798525,0.250897454,0.341861131,0.746128406,0.719149169,0.627241661,0.228411749,0.33258996,0.354323366,0.538610981,0.202269418,0,0,0,0,0.236040225,0.106519049,0.188590007,0.247064641,0.500323021,0.338443858,0.105204423,0,0,0.050430963,0.001289099,0.1276502,0,0.85264828,0.986946546,0.659736946,0.56691716,0.168407189,0,0,0.015583236,0.00510802,0.009808634,0,0,0.086526331,0,0,0.104672956,0.106186288,0.396174376,0.691953593,0.752296273,0.774548176,0.782586755,0.938105026,0.87184191,1,0.56600162,0.302238169,0.038703618,0.479129088,0.397648027,0.599030223,0.749936329,0.721281639,0.623186565,0.6428828,0.629193014,0.588703077,0.452151109,0,0.086946652,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adcyap1r1,0.479511615,0.5676824,0.417190589,0.433333982,0.389312133,0.340869239,0.321310708,0.253933541,0.178891114,0.29840709,0.473460746,0.460702594,0.666912922,0.557471735,0,0,0,0.614195829,0.487228657,0.000729407,0.001248336,0.430491669,0.395792949,0.348197154,0.141134497,0.479567589,0.740184596,0.890058661,0.845545966,0.889795773,0.732149566,0.681475453,0.640585223,0.739913714,0.882974346,0.729949915,0.853594441,0.806230408,0.716330613,0.99449086,0.950189227,0.876438184,0.675521148,0.71465525,0.759200144,0.641775072,0.661310069,0.822606658,0.74495768,0.916155523,0.829200601,0.878350994,0.923972227,0.87151218,0.981294647,0.67898645,0.924452327,1,0.976779671,0.920378458,0.961503869,0.905628214,0.830975198,0.897941946,0.903340614,0.874110504,0.796354082,0.974080131,0.9990249,0.937654315,0.947662284,0.778452477,0.740978933,0.58563199,0.57053027,0.627905433,0.785261504,0.650203975,0.776092335,0.786186183,0.790365443,0.716949526,0.797008654,0.746716746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crhr1,0.4278914,0.60952979,0.6605297,0.768511958,0.886616553,0.959282013,1,0.925995339,0.875850556,0.604048435,0.516363348,0.544015936,0.442743348,0.351612351,0.323531494,0.294478034,0.489019029,0,0,0.003948978,0,0.06258822,0,0,0,0.385164086,0,0,0.000978022,0,0,0,0,0,0,0,0,0,0,0.441658223,0.7021192,0.22717317,0.21884748,0.06954564,0.012650751,0.185671448,0.1300081,0,0.362174553,0,0,0.002098925,0,0.251585774,0,0.000674595,0,0,0,0,0.006117989,0.032384846,0,0.000589446,0.000920564,0,0.119514911,0,0,0,0.002647502,0,0,0,0,0,0,0,0,0.00495632,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rxfp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383390702,0.333033876,0.017026599,0,0,0,0,0.004954583,0.086302171,0,0,0,0.067241931,0.067976376,0,0,0,0.032315042,0,0,0,0,0,0,0,0,0,0,0.491306454,0.582419127,0.958381295,1,0.535366753,0.734572692,0.414477414,0.469649396,0.195243157,0.74661319,0.190399496,0.136453409,0.114692769,0,0,0.027908969,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oprl1,0.728635985,0.719916619,0.71772047,0.670282484,0.643915603,0.620987531,0.78777664,0.791036038,0.915584892,0.832785549,0.739848049,0.772845668,0.739375347,0.666436845,0.916281993,0.913881348,0.863516879,0.839934317,1,0.781683427,0.766693057,0.739196296,0.835126581,0.825444557,0.612637192,0.826316525,0.652040086,0.738156934,0.772069543,0.616750712,0.550921622,0.45843024,0.472138004,0.132268575,0.536460814,0.539680766,0.005894466,0.575107978,0.00490965,0.80773669,0.809631603,0.509835134,0.5491778,0.540085806,0.001040538,0,0,0,0,0,0,0.064944877,0,0.001393491,0,0.968118513,0.798312756,0.842709335,0.795938268,0.890908872,0.881409656,0.893507677,0.953809989,0.839433116,0.873490673,0.936281936,0.872257649,0.83020991,0.886542561,0.654935484,0.93163926,0.759087602,0.685145012,0.877213314,0.432944295,0.611191103,0.537141199,0.324873853,0.559803382,0.525977945,0.519099486,0.541483372,0.632537182,0.200038979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crhr2,0,0,0,0,0,0,0,0.001459401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633721719,0,0.13941851,0.256950535,0.310426927,0,0,0,0,0.233311139,0,0,0.000909836,0.29183626,0.713148834,0.131412797,0.000894768,0,0.016761879,0,0,0.523418226,0.664010516,1,0,0,0,0.321955057,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacr3,0,0,0,0,0,0,0.025303287,0,0,0,0,0,0,0,0,0.003197576,0,0,0,0,0,0.476615293,0.130779037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099694549,0,0,0,0,0,0,0,0,0,0.002611034,0,1,0,0,0,0.707950403,0,0,0,0,0,0,0,0,0,0,0,0.174571913,0,0,0,0,0,0,0,0,0.315081933,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oprk1,0,0,0,0,0,0,0,0,0,0,0,0,0.329499213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002737773,0,0,0,0,0,0,0.142643759,0,0,0,0,0,0,0.163756705,0,0,0,0.345880566,0,0,0,0.131447855,0,0.423992288,0.292873567,0.018789561,0.238653873,0.143356511,0.156721855,0.055604225,0.013044577,0,0.63613408,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacr1,0,0,0,0,0,0,0,0,0,0,0,0,0.0115553,0.025431208,0,0,0,0,0,0,0,0,0,0,0,0.063970007,0,0,0,0,0,0,0.57674531,0.023353055,0,0,0,0,0,0,0,0,0,0.001233317,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000512069,0.07587294,0.062406532,0,0,0,0,0,0,0,0.002454702,0.087852069,0,0,0,0,0,0,0,0.006462945,0,0.019229903,0,0.154878836,0.50519061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pth1r,0.000672944,0,0,0,0,0.014300493,0.068700869,0.020210657,0.176246314,0.177434708,0.150869733,0.222788537,0.149660398,0.131197377,0.149383733,0.235055635,0.132553375,0.788864255,1,0.101768056,0.366907598,0.350520967,0.145098402,0.182194105,0.421510883,0.327600238,0.289464035,0.03055501,0,0,0.006555942,0.233128843,0,0,0.378999922,0.126432243,0.135942139,0.206226492,0,0.575335162,0.75924957,0.715084001,0.258786261,0.34612149,0.059699759,0,0.176351609,0.167776482,0.2147094,0,0.003789996,0.227518899,0.063428296,0.001647108,0,0.683476468,0.435767185,0.453265606,0.37442529,0.333087043,0.585282025,0,0.244138299,0.108798417,0.078172027,0.094710364,0.287459452,0.086237712,0.318499029,0.135905996,0.250023179,0.063872934,0.379069966,0.256693542,0.8961672,0.79367374,0.814580133,0.596895436,0.714427046,0.699894831,0.830067839,0.534591698,0.582608763,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vipr1,0.728231021,0.598224057,0.750194427,0.866272954,1,0.891400703,0.765885641,0.757411495,0.643597256,0.73093359,0.939491401,0.844672772,0.80714559,0.804069079,0.758327174,0.579000743,0.622966901,0,0.021113964,0.723415038,0.633763406,0.30347463,0.005083465,0.016190063,0.038234951,0.458250762,0.069894417,0,0.003710498,0.004450138,0,0,0,0,0.030334005,0,0.388894852,0.253703168,0.529707546,0,0,0.0249786,0.011837184,0.18855068,0.062223114,0.008031098,0,0,0,0,0.531441466,0.2533635,0.3849662,0.544418147,0.369632229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173874212,0.016979057,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oprm1,0.052560227,0.090593677,0.029282221,0.022765235,0.055497362,0.04758055,0.140662701,0.076605419,0.226934002,0.123052178,0.037071175,0.043415387,0.041689497,0.08584551,0.187556493,0.257535344,0.212465455,0.737613351,0.43424979,0.238429757,0.368334009,0.454178016,0.53599549,0.524211608,0.636847656,0.694345306,0.202042786,0.324707359,0.125902505,0.099322743,0.502978429,0.645068145,0.462356964,0.174983365,0.144151205,0.102248202,0.015215073,0.071184021,0.279092757,0.312444031,0.510183778,0.363082088,0.74037877,0.505583901,0.487591828,0.373324142,0.533566531,0.286215606,0.127417475,0.036512231,0.040774709,0.181745436,0.000433842,0.010122022,0.093214821,0.661032711,0.444102584,0.633124912,0.480245725,0.31522573,0.711285931,0.7268096,0.815911903,0.498458923,0.74121022,0.658957719,0.720984305,0.182476069,0.502037697,0.371733674,0.779098876,0.820625835,0.633747293,0.87615338,1,0.000853966,0.328698402,0.024752442,0.454633428,0.053332648,0.000245823,0,0.588615197,0.742431667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trhr2,0.07274934,0.214430124,0.191474257,0,0,0,0,0,0,0.002010491,0.019705371,0.195426126,0.186969041,0.074449405,0.00303151,0.146946341,0.000760484,0.000296126,0.547557918,0.140438616,0.4370911,0.083442723,0,0,0.509675315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057717618,0.019188262,0,0.011046669,0.03308886,0.379499114,0,0,0,0,0.03490352,0.082596392,0.069040935,0.0087606,0.038388378,0,0,0,0,0,0,0.076716073,0,0.064705859,0.065963734,0,0.00116172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vipr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047134543,0.08680399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018641471,0.337984586,0.001075839,0.026198426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rxfp2,0.000950083,0.013429597,0.022356934,0,0,0,0.000445532,0,0.074819743,0.374252319,0.307615244,0.506787169,0.528152057,0.22228216,0,0,0,0.139362965,0,0.045517922,0,0.103441537,0.249485055,0.238311754,0.714716658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499081588,0.23169227,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oprd1,0.264404512,0.233184758,0.154601184,0.261234625,0.114563352,0.088440746,0.025221865,0.122287612,0.011088931,0.183420789,0.246398558,0.260174689,0.330717596,0.229352012,0.002215004,0.025450056,0.012137777,0,0,0.067064283,0.112433351,0,0,0.001079375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598469717,0.518209252,0.648943021,0.416531415,0.452499812,0.139894487,0,0.143423232,0.398326605,0.565715087,0.359689061,0.591831623,0.519822175,0.754718114,0.485970199,0.247958751,0.589754984,0.397187293,0.213634163,0.402562834,1,0.926093733,0.629230491,0.802910479,0.580164039,0.674339823,0.714965524,0.617494885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ntsr1,0.105705208,0.025241963,0,0.182613942,0.003628955,0,0,0,0,0,0.011493994,0.006552344,0.387169352,0.254307697,0.000815037,0.041100062,0,0,0,0.481085875,0.20247913,0.378029092,0.438323463,0.542781563,1,0.606926446,0.313772409,0,0,0,0.094513428,0,0,0,0,0,0,0.006092164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sstr3,0.621162878,1,0.841294021,0.774950056,0.784413856,0.891823303,0.835654087,0.814039448,0.665285172,0.765079186,0.871331135,0.905744784,0.882265958,0.902819273,0.013280388,0.190517482,0.066227392,0.000732537,0,0.402173894,0.118648169,0.074150947,0.296918786,0.416200753,0.285180717,0.238158756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001881379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130652091,0,0,0.033759222,0.038975185,0.216051322,0,0,0,0,0.148730011,0,0.062747292,0,0.001154978,0,0.188158558,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
