HE_genes,DE_genes,NP_genes
LOC105247067,,
Sall3,,
Gper1,,
Vmn2r1,,
Trp73,,
Nppa,,
Eya2,,
Dqx1,,
Phxr4,,
Cd74,,
Gja1,,
Gm33647,,
LOC105243367,,
Kcnj5,,
Nhlh2,,
Anxa1,,
Crabp2,,
Gm34654,,
LOC105246738,,
Tnfrsf18,,
Slc8b1,,
Oit3,,
Dlk1,,
Gm30056,,
Gpr50,,
Npb,,
Gm35209,,
Nmu,,
Tbx15,,
Gm27199,,
Dcdc5,,
Crct1,,
Gm15786,,
LOC105243317,,
Serpinb2,,
Lhx5,,
Osmr,,
Slc6a3,,
LOC105243980,,
